Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
trello-backend,com0.trello.Board.controller,BoardController,getBoardById,9,2,1,26,0,,
trello-backend,com0.trello.Board.controller,BoardController,updateBoard,3,1,1,37,0,com0.trello.Board.service.BoardService,com0.trello.Board.service.BoardService
trello-backend,com0.trello.Board.controller,BoardController,createBoard,10,2,2,42,0,com0.trello.WorkSpace.service.WorkSpaceService,com0.trello.WorkSpace.service.WorkSpaceService; com0.trello.Board.model.Board; com0.trello.Board.service.BoardService
trello-backend,com0.trello.Board.controller,BoardController,deleteBoardById,10,1,1,57,0,com0.trello.Board.service.BoardService,com0.trello.Board.service.BoardService
trello-backend,com0.trello.Board.model,Board,Board,5,1,3,19,0,,
trello-backend,com0.trello.Board.model,Board,Board,2,1,0,25,0,,
trello-backend,com0.trello.Board.model,Board,getId,3,1,0,30,0,,
trello-backend,com0.trello.Board.model,Board,setId,3,1,1,34,0,,
trello-backend,com0.trello.Board.model,Board,getBoardName,3,1,0,38,0,,
trello-backend,com0.trello.Board.model,Board,setBoardName,3,1,1,42,0,,
trello-backend,com0.trello.Board.model,Board,getWorkSpace,3,1,0,46,0,,
trello-backend,com0.trello.Board.model,Board,setWorkSpace,3,1,1,50,0,,
trello-backend,com0.trello.Board.service,BoardService,createBoard,6,2,1,17,0,,
trello-backend,com0.trello.Board.service,BoardService,updateBoard,10,2,1,26,0,com0.trello.Board.model.Board,com0.trello.Board.model.Board
trello-backend,com0.trello.Board.service,BoardService,deleteBoardById,4,1,1,40,0,,
trello-backend,com0.trello.Board.service,BoardService,getAllBoardsInWorkspace,10,3,1,46,0,com0.trello.Board.model.Board,com0.trello.Board.model.Board; com0.trello.WorkSpace.model.WorkSpace
trello-backend,com0.trello,ConfigWeb,addCorsMappings,3,1,1,10,0,,
trello-backend,com0.trello,TrelloBackendApplication,main,3,1,1,9,0,,
trello-backend,com0.trello,BoardTest,createBoardTest,9,1,0,29,1,com0.trello.Board.model.Board,com0.trello.Board.model.Board; com0.trello.Board.service.BoardService
trello-backend,com0.trello,BoardTest,createEmptyBoardTest,5,1,0,43,1,com0.trello.Board.service.BoardService,com0.trello.Board.service.BoardService
trello-backend,com0.trello,BoardTest,updateBoardTest,12,1,0,53,1,com0.trello.Board.model.Board,com0.trello.Board.service.BoardService; com0.trello.Board.model.Board
trello-backend,com0.trello,BoardTest,updateBoardWithoutAssignedIdTest,10,1,0,69,1,com0.trello.Board.model.Board,com0.trello.Board.service.BoardService; com0.trello.Board.model.Board
trello-backend,com0.trello,BoardTest,GetAllBoardsInWorkspaceTest,14,1,0,83,1,com0.trello.Board.service.BoardService,com0.trello.Board.service.BoardService; com0.trello.WorkSpace.model.WorkSpace
trello-backend,com0.trello,BoardTest,deleteBoardByIdTest,9,1,0,103,1,com0.trello.Board.model.Board,com0.trello.Board.model.Board; com0.trello.Board.service.BoardService
trello-backend,com0.trello,TaskTest,createTaskTest,15,1,0,39,1,com0.trello.Task.model.Task,com0.trello.Task.model.Task; com0.trello.Task.Service.TaskService
trello-backend,com0.trello,TaskTest,createTaskWithoutNameTest,11,1,0,59,1,com0.trello.Task.model.Task,com0.trello.Task.model.Task; com0.trello.Task.Service.TaskService
trello-backend,com0.trello,TaskTest,statusChangeTest,17,1,0,75,1,com0.trello.Task.model.Task,com0.trello.Task.model.Task; com0.trello.Task.Service.TaskService
trello-backend,com0.trello,TaskTest,statusChangeWithoutAssignedTaskTest,22,2,0,100,1,com0.trello.Task.model.Task,com0.trello.Task.model.Task; com0.trello.Task.Service.TaskService
trello-backend,com0.trello,TaskTest,changeDueDateTest,17,1,0,130,1,com0.trello.Task.model.Task,com0.trello.Task.model.Task; com0.trello.Task.Service.TaskService
trello-backend,com0.trello,TaskTest,checkValidDueDateTest,17,1,0,154,1,com0.trello.Task.model.Task,com0.trello.Task.model.Task; com0.trello.Task.Service.TaskService
trello-backend,com0.trello,TaskTest,addUserTest,42,1,0,178,1,com0.trello.Task.model.Task,com0.trello.User.model.User; com0.trello.Board.model.Board; com0.trello.Task.model.Task; com0.trello.WorkSpace.model.WorkSpace; com0.trello.User.repository.UserRepository; com0.trello.Task.Service.TaskService
trello-backend,com0.trello,TaskTest,addUserToNonExistingTask,10,1,0,233,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.Task.Service.TaskService
trello-backend,com0.trello,TaskTest,updateTaskTest,17,1,0,248,1,com0.trello.Task.model.Task,com0.trello.Task.model.Task; com0.trello.Task.Service.TaskService
trello-backend,com0.trello,TaskTest,checkFindTaskByIdTest,14,1,0,272,1,com0.trello.Task.model.Task,com0.trello.Task.model.Task; com0.trello.Task.Service.TaskService
trello-backend,com0.trello,TrelloBackendApplicationTests,contextLoads,2,1,0,9,1,,
trello-backend,com0.trello,UserTest,createUserTest,12,1,0,28,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,createUserWithEmptyUserNameTest,10,1,0,47,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,createUserWithEmptyEmailAddressTest,10,1,0,63,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,createUserWithEmptyPasswordTest,10,1,0,79,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,createUserWithWrongPasswordRequirementTest,10,1,0,95,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,createUserWithEmptySecurityAnswerTest,10,1,0,111,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,checkUserExistsWithValidEmailTest,15,1,0,128,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.repository.UserRepository; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,loginUserTest,14,1,0,149,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.repository.UserRepository; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,loginUserWithWrongPasswordTest,14,1,0,171,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.repository.UserRepository; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,loginWithNoUserTest,12,1,0,192,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,validPasswordTest,10,1,0,212,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,findDuplicateUserTest,21,1,0,229,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,checkUpdateUserTest,15,1,0,257,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,checkFindUserByIdTest,12,1,0,279,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.service.UserService
trello-backend,com0.trello,UserTest,checkFindUserByEmailTest,12,1,0,299,1,com0.trello.User.model.User,com0.trello.User.model.User; com0.trello.User.repository.UserRepository; com0.trello.User.service.UserService
